id,timestamp,display_title,description,reference
170765,2024-11-28T12:34:34,Council's recommendation on smoke- and aerosol-free environments,Proposition de résolution (ensemble du texte),RC-B10-0173/2024
170917,2024-11-28T12:27:28,Reinforcing EU’s unwavering support to Ukraine against Russia’s war of aggression and the increasing military cooperation between North Korea and Russia,Proposition de résolution (ensemble du texte),RC-B10-0191/2024
170866,2024-11-28T12:18:23,Georgia's worsening democratic crisis following the recent parliamentary elections and alleged electoral fraud,Proposition de résolution (ensemble du texte),RC-B10-0179/2024
170880,2024-11-28T12:15:14,"The shrinking space for civil society in Cambodia, in particular the case of the labour rights organisation CENTRAL",Proposition de résolution (ensemble du texte),RC-B10-0190/2024
170871,2024-11-28T12:14:01,The increasing and systematic repression against women in Iran,Proposition de résolution (ensemble du texte),RC-B10-0188/2024
170875,2024-11-28T12:13:21,"Hong Kong, notably the cases of Jimmy Lai and the 45 activists recently convicted under the application of national security law",Proposition de résolution (ensemble du texte),RC-B10-0208/2024
170632,2024-11-27T12:29:20,"Draft amending budget 5/2024: adjustment in payment appropriations, update of revenues and other technical updates",Proposition de résolution,A10-0017/2024
170670,2024-11-27T12:29:00,Mobilisation of the European Union Solidarity Fund: assistance to Germany and Italy relating to floods occurred in 2024,Proposition de résolution,A10-0020/2024
170721,2024-11-27T12:27:29,Measures to reduce incidental catches of common dolphin (Delphinus delphis) and other small cetaceans in the Bay of Biscay,Proposition de résolution,B10-0178/2024
170671,2024-11-27T12:26:56,Amending Regulation (EU) 2018/1806 as regards Vanuatu,Proposition de la Commission,A10-0015/2024
170726,2024-11-27T12:22:40,Presentation by the Commission President-elect of the College of Commissioners and its programme,Proposition de résolution (ensemble du texte),B10-0196/2024
170722,2024-11-27T12:20:58,Presentation by the Commission President-elect of the College of Commissioners and its programme,Proposition de résolution,B10-0194/2024
170637,2024-11-26T12:14:22,"Objection pursuant to Rule 115(2) and (3) D099729 – authorising the placing on the market of products containing, consisting of or produced from genetically modified MON 94804, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution,B10-0153/2024
170631,2024-11-26T12:13:43,"Objection pursuant to Rule 115(2) and (3) D098501 – authorising the placing on the market of products containing, consisting of or produced from genetically modified maize DP202216, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution (ensemble du texte),B10-0152/2024
170636,2024-11-26T12:12:37,"Objection pursuant to Rule 115(2) and (3) D096838 - authorising the placing on the market of products containing, consisting of or produced from genetically modified maize DP-023211-2, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution (ensemble du texte),B10-0150/2024
170641,2024-11-26T12:11:24,"Objection pursuant to Rule 115(2) and (3) D096836 - authorising the placing on the market of products containing, consisting of or produced from genetically modified maize DP-915635-4, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution (ensemble du texte),B10-0149/2024
170638,2024-11-26T12:10:18,"Objection pursuant to Rule 115(2) and (3) D096832 - renewing the authorisation for the placing on the market of feed containing, consisting of and of food and feed products produced from genetically modified maize MON 810, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council and repealing Commission Implementing Decision (EU) 2017/1207",Proposition de résolution,B10-0146/2024
170627,2024-11-26T12:09:51,"Objection pursuant to Rule 115(2) and (3) renewing the authorisation for the placing on the market of products containing, consisting of or produced from genetically modified maize MON 89034 × 1507 × MON 88017 x 59122 and eight sub-combinations, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution (ensemble du texte),B10-0147/2024
170628,2024-11-26T12:08:40,"Objection pursuant to Rule 115(2) and (3) authorising the placing on the market of products containing, consisting of or produced from genetically modified cotton COT102, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution,B10-0145/2024
170624,2024-11-26T12:08:16,"Objection pursuant to Rule 115(2) and (3) renewing the authorisation for the placing on the market of products containing, consisting of or produced from genetically modified maize MON 89034 × 1507 × NK603, pursuant to Regulation (EC) No 1829/2003 of the European Parliament and of the Council",Proposition de résolution (ensemble du texte),B10-0148/2024
170528,2024-11-14T11:47:28,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29)",Proposition de résolution (ensemble du texte),B10-0156/2024
170401,2024-11-14T11:27:41,European Investment Bank (EIB): amendment of the Statute,Projet de décision du Conseil,A10-0013/2024
170381,2024-11-14T11:23:31,Faster and Safer Relief of Excess Withholding Taxes,Proposition de la Commission au Conseil,A10-0011/2024
170382,2024-11-14T11:22:06,Electronic value added tax exemption certificate,Proposition de la Commission au Conseil,A10-0012/2024
170351,2024-10-24T12:17:02,People’s Republic of China’s misinterpretation of the UN resolution 2758 and its continuous military provocations around Taiwan,Proposition de résolution (ensemble du texte),RC-B10-0134/2024
170366,2024-10-24T12:14:51,"Situation in Azerbaijan, violation of human rights and international law and relations with Armenia",Proposition de résolution (ensemble du texte),RC-B10-0133/2024
169898,2024-10-23T12:51:21,Guidelines for the employment policies of the Member States,Proposition de la Commission,A10-0004/2024
169987,2024-10-23T12:45:30,2025 general budget: all sections,Proposition de résolution (ensemble du texte),A10-0008/2024
169894,2024-10-22T12:13:17,2022 discharge: General budget of the EU - European Council and Council,Proposition de résolution (ensemble du texte),A10-0003/2024
169885,2024-10-22T12:11:20,Mobilisation of the European Globalisation Adjustment Fund: redundancies in the retail sector in Belgium,Proposition de résolution (ensemble du texte),A10-0009/2024
169887,2024-10-22T12:10:05,Draft amending budget 4/2024: update of revenue (own resources) and adjustments to some decentralised agencies,Proposition de résolution (ensemble du texte),A10-0007/2024
169890,2024-10-22T12:08:45,Draft amending budget 2/2024: surplus of the financial year 2023,Proposition de résolution (ensemble du texte),A10-0005/2024
169889,2024-10-22T12:06:31,Establishing the Ukraine Loan Cooperation Mechanism and providing exceptional macro-financial assistance to Ukraine,Proposition de la Commission,A10-0006/2024
169808,2024-10-09T12:46:36,Resolution on the democratic backsliding and threats to political pluralism in Georgia,Proposition de résolution (ensemble du texte),RC-B10-0070/2024
169770,2024-10-09T12:42:41,Resolution on strengthening Moldova’s resilience against Russian interference ahead of the upcoming presidential elections and a constitutional referendum on EU integration,Proposition de résolution (ensemble du texte),RC-B10-0072/2024
169701,2024-10-08T12:33:50,"Mobilisation of the European Union Solidarity Fund: assistance to Italy, Slovenia, Austria, Greece and France relating to six natural disasters occurred in 2023",Proposition de décision,A10-0002/2024
169623,2024-09-19T12:35:49,Situation in Venezuela,Proposition de résolution (ensemble du texte),RC-B10-0023/2024
169676,2024-09-19T12:24:22,Continued financial and military support to Ukraine by EU member states,Proposition de résolution (ensemble du texte),RC-B10-0028/2024
169401,2024-09-19T12:13:40,EU/USA Agreement: setting forth security procedures for the launch of Galileo satellites from U.S. territory,Projet de décision du Conseil,A10-0001/2024
169541,2024-09-19T12:13:11,The case of José Daniel Ferrer García in Cuba,Proposition de résolution (ensemble du texte),RC-B10-0022/2024
169544,2024-09-19T12:10:50,The severe situation of political prisoners in Belarus,Proposition de résolution (ensemble du texte),RC-B10-0026/2024
169565,2024-09-19T12:09:57,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the “Promotion of Virtue and Prevention of Vice”,Proposition de résolution (ensemble du texte),RC-B10-0024/2024
169419,2024-09-18T12:18:58,Commission Regulation amending Annexes II and III to Regulation (EC) No 396/2005 of the European Parliament and of the Council as regards maximum residue levels for cyproconazole and spirodiclofen in or on certain products,Proposition de résolution,B10-0021/2024
169418,2024-09-18T12:18:27,"Commission Regulation amending Annexes II, III and V to Regulation (EC) No 396/2005 of the European Parliament and of the Council as regards maximum residue levels for benomyl, carbendazim and thiophanate‐methyl in or on certain products",Proposition de résolution,B10-0020/2024
169362,2024-07-17T12:50:14,Resolution on the need for the EU’s continuous support for Ukraine,Proposition de résolution (ensemble du texte),B10-0007/2024
